4	1	2	3	3	2	0	1	23	18	0.561	0	0	0	0	0	8	0.125	 
5	0	3	3	0	2	5	14	0	0	0	0	1	0	0	0	6	0	 
4	1	2	3	1	2	1	1	0	0	0	0	1	0	0	1	7	0.143	 
3	1	2	3	5	0	4	2	0	1	0	0	0	0	0	0	4	0.25	 
3	2	1	3	1	10	8	3	19	18	0.514	2	0	0	0	0	4	0.5	 
3	0	3	3	0	5	2	3	0	0	0	0	1	0	0	0	9	0	 
3	1	2	3	3	2	4	0	15	11	0.577	0	1	0	0	0	8	0.125	 
4	2	1	3	-2	2	2	10	53	32	0.624	1	1	0	0	0	7	0.286	 
4	2	1	3	2	0	1	2	34	39	0.466	0	0	0	0	0	8	0.25	 
5	1	2	3	0	4	0	1	24	35	0.407	0	0	0	0	0	7	0.143	 
5	1	2	3	-2	6	9	8	0	0	0	0	1	0	0	0	12	0.083	 
5	2	1	3	2	4	12	4	38	44	0.463	1	0	0	0	1	10	0.2	 
4	1	2	3	-6	2	2	3	19	15	0.559	0	1	0	0	0	12	0.083	 
4	0	3	3	6	0	1	7	0	0	0	0	1	0	0	0	3	0	 
5	2	1	3	1	0	2	6	64	67	0.489	1	0	1	0	0	10	0.2	 
4	1	2	3	3	2	13	7	0	0	0	0	1	0	0	0	8	0.125	 
4	1	2	3	-1	0	13	2	1	0	1	0	0	0	0	0	13	0.077	 
4	3	0	3	-3	0	0	5	15	18	0.455	1	0	0	0	1	14	0.214	 
5	1	2	3	4	2	4	2	72	50	0.59	0	1	0	0	0	6	0.167	 
4	2	1	3	3	0	3	2	1	2	0.333	1	1	0	0	1	13	0.154	 
4	0	3	3	0	2	4	3	14	16	0.467	0	2	0	0	0	1	0	 
5	0	3	3	-2	2	4	1	27	21	0.563	0	1	0	0	0	9	0	 
5	1	2	3	1	9	22	11	3	3	0.5	0	1	0	0	0	22	0.045	 
5	0	3	3	2	2	4	7	0	0	0	0	0	0	0	0	4	0	 
4	3	0	3	1	0	9	3	2	3	0.4	0	0	0	0	0	7	0.429	 
5	2	1	3	0	0	14	2	1	0	1	1	0	0	0	1	8	0.25	 
4	2	1	3	3	4	3	1	4	2	0.667	0	0	0	0	0	22	0.091	 
3	1	2	3	0	4	9	0	1	0	1	1	0	0	0	0	9	0.111	 
5	2	1	3	-2	5	12	2	0	2	0	1	1	0	0	0	9	0.222	 
5	2	1	3	1	4	4	7	0	0	0	1	0	0	0	1	14	0.143	 
4	0	3	3	3	4	3	7	0	0	0	0	1	0	0	0	9	0	 
4	3	0	3	1	4	3	3	0	0	0	2	0	0	0	0	23	0.13	 
4	1	2	3	3	0	9	3	0	0	0	0	0	0	0	0	10	0.1	 
4	1	2	3	1	12	16	5	5	0	1	0	0	0	0	0	6	0.167	 
3	1	2	3	0	2	1	3	19	17	0.528	0	2	0	0	0	8	0.125	 
4	0	3	3	-6	0	4	2	17	29	0.37	0	2	0	0	0	5	0	 
3	1	2	3	0	12	10	1	1	6	0.143	0	2	0	0	1	4	0.25	 
3	1	2	3	3	0	6	4	0	0	0	0	0	1	0	0	5	0.2	 
5	1	2	3	0	0	4	7	34	48	0.415	0	0	0	0	0	12	0.083	 
4	1	2	3	-2	6	7	1	1	1	0.5	0	1	0	0	0	14	0.071	 
4	0	3	3	6	4	3	7	0	0	0	0	0	0	0	0	9	0	 
5	1	2	3	1	4	5	8	1	0	1	0	0	0	0	0	8	0.125	 
3	2	1	3	3	0	1	0	0	3	0	0	0	0	0	0	5	0.4	 
3	1	2	3	4	7	1	1	0	2	0	0	0	0	0	0	5	0.2	 
5	1	2	3	2	2	6	0	0	0	0	0	0	0	0	0	5	0.2	 
4	1	2	3	0	19	6	4	27	24	0.529	0	1	0	0	0	10	0.1	 
3	0	2	2	3	2	5	2	1	0	1	0	0	0	0	0	11	0	 
5	0	2	2	-3	2	3	5	0	0	0	0	2	0	0	0	11	0	 
4	0	2	2	-1	4	6	1	1	0	1	0	0	0	0	0	11	0	 
4	0	2	2	5	0	2	1	14	13	0.519	0	1	0	0	0	9	0	 
3	1	1	2	0	6	6	4	0	0	0	1	0	0	0	0	8	0.125	 
3	0	2	2	0	6	1	3	25	21	0.543	0	1	0	0	0	8	0	 
5	0	2	2	0	0	6	2	36	42	0.462	0	1	0	0	0	9	0	 
5	1	1	2	0	0	4	1	30	31	0.492	0	0	1	0	0	3	0.333	 
3	1	1	2	3	0	3	0	0	0	0	0	1	0	0	1	8	0.125	 
4	1	1	2	2	0	8	0	26	15	0.634	0	0	0	0	0	6	0.167	 
4	0	2	2	1	5	7	3	0	0	0	0	0	0	0	0	5	0	 
4	1	1	2	-2	2	2	0	24	19	0.558	0	1	0	0	0	4	0.25	 
4	0	2	2	-2	2	9	0	0	0	0	0	2	0	0	0	12	0	 
4	0	2	2	2	0	3	2	0	0	0	0	0	0	0	0	6	0	 
5	1	1	2	1	0	7	6	15	32	0.319	0	1	0	0	0	9	0.111	 
4	1	1	2	1	4	5	4	0	0	0	1	0	0	0	0	6	0.167	 
3	0	2	2	3	0	2	1	0	0	0	0	0	0	0	0	5	0	 
5	0	2	2	1	0	0	11	0	0	0	0	0	0	0	0	6	0	 
4	0	2	2	4	0	1	6	0	0	0	0	1	0	0	0	11	0	 
4	2	0	2	6	2	3	4	0	0	0	1	0	0	0	1	5	0.4	 
4	0	2	2	1	2	6	5	24	24	0.5	0	0	0	0	0	9	0	 
4	0	2	2	1	0	12	2	33	25	0.569	0	1	0	0	0	9	0	 
5	0	2	2	-5	2	12	2	0	0	0	0	1	0	0	0	7	0	 
3	1	1	2	1	0	0	3	0	0	0	1	1	0	0	0	10	0.1	 
5	1	1	2	-2	2	7	11	0	0	0	0	0	0	0	0	7	0.143	 
4	0	2	2	1	0	1	7	0	0	0	0	1	0	0	0	6	0	 
4	0	2	2	-4	0	2	4	0	0	0	0	1	0	0	0	7	0	 
4	1	1	2	1	0	6	2	0	2	0	0	0	0	0	0	8	0.125	 
4	0	2	2	1	0	2	7	0	0	0	0	0	0	0	0	4	0	 
2	1	1	2	-4	0	3	2	22	20	0.524	1	1	0	0	0	7	0.143	 
5	1	1	2	1	0	5	4	24	37	0.393	1	0	0	0	0	6	0.167	 
5	0	2	2	-1	2	4	3	42	31	0.575	0	0	0	0	0	10	0	 
3	0	2	2	2	0	5	6	0	0	0	0	0	0	0	0	8	0	 
4	1	1	2	1	2	0	7	23	18	0.561	1	0	0	0	0	4	0.25	 
2	0	2	2	2	2	4	3	0	1	0	0	0	0	0	0	0	0	 
4	0	2	2	0	2	2	1	0	1	0	0	1	0	0	0	14	0	 
3	1	1	2	-1	2	3	3	0	0	0	0	1	0	0	0	11	0.091	 
4	1	1	2	3	2	20	3	0	0	0	0	0	0	0	0	12	0.083	 
5	1	1	2	2	0	5	1	1	1	0.5	0	0	0	0	0	8	0.125	 
3	2	0	2	1	7	7	0	0	0	0	0	0	0	0	1	5	0.4	 
5	0	2	2	2	2	15	12	0	0	0	0	2	0	0	0	9	0	 
4	1	1	2	2	2	6	1	0	2	0	0	1	0	0	0	7	0.143	 
3	0	2	2	-1	17	6	0	0	0	0	0	1	0	0	0	3	0	 
4	1	1	2	1	2	6	0	0	1	0	1	0	0	0	0	7	0.143	 
3	1	1	2	0	2	3	4	0	0	0	0	1	0	0	1	8	0.125	 
3	1	1	2	2	4	10	7	0	0	0	0	0	0	0	0	3	0.333	 
5	0	2	2	-2	0	6	9	0	0	0	0	1	0	0	0	8	0	 
3	1	1	2	-5	0	3	2	0	0	0	0	1	0	0	0	4	0.25	 
4	0	2	2	0	11	2	1	0	0	0	0	0	0	1	0	6	0	 
5	1	1	2	2	0	9	0	1	1	0.5	0	0	0	0	0	8	0.125	 
4	0	2	2	-3	2	5	1	2	2	0.5	0	1	0	0	0	10	0	 
3	1	1	2	-1	0	4	6	0	0	0	1	1	0	0	0	1	1	 
3	0	2	2	1	2	5	1	26	13	0.667	0	0	0	0	0	3	0	 
4	1	1	2	3	4	7	3	0	0	0	0	0	0	0	0	2	0.5	 
5	2	0	2	-3	8	6	3	1	4	0.2	0	0	0	0	1	7	0.286	 
3	0	2	2	0	0	1	5	0	0	0	0	1	0	0	0	5	0	 
4	0	2	2	2	2	6	5	0	0	0	0	0	0	0	0	4	0	 
4	1	1	2	2	0	4	2	39	31	0.557	0	0	0	0	1	12	0.083	 
4	1	1	2	1	0	3	1	0	1	0	0	1	0	0	0	13	0.077	 
4	0	2	2	1	9	6	4	0	0	0	0	1	0	0	0	8	0	 
4	1	1	2	4	2	10	0	1	0	1	0	1	0	0	0	9	0.111	 
3	1	1	2	0	4	6	0	0	2	0	1	0	0	0	1	5	0.2	 
5	1	1	2	2	15	9	3	0	0	0	0	1	0	0	0	8	0.125	 
5	1	1	2	0	2	6	1	35	45	0.438	0	0	0	0	0	6	0.167	 
4	1	1	2	0	0	2	5	1	5	0.167	0	1	0	0	0	9	0.111	 
4	0	2	2	0	4	12	6	40	24	0.625	0	0	0	1	0	15	0	 
5	0	2	2	-3	4	8	5	21	21	0.5	0	1	0	0	0	8	0	 
4	1	1	2	-2	0	10	7	0	0	0	1	0	0	0	0	9	0.111	 
5	2	0	2	0	6	8	1	0	1	0	1	0	0	0	0	15	0.133	 
4	0	2	2	1	4	4	1	40	23	0.635	0	0	0	0	0	8	0	 
5	1	1	2	1	8	13	8	0	0	0	0	0	0	0	0	9	0.111	 
4	1	1	2	0	4	4	8	0	0	0	0	0	0	0	0	4	0.25	 
4	0	2	2	-1	2	8	7	0	0	0	0	2	0	0	0	11	0	 
2	0	2	2	2	0	0	2	0	0	0	0	0	0	0	0	3	0	 
5	1	1	2	-4	6	4	2	40	55	0.421	0	1	0	0	0	14	0.071	 
4	1	1	2	0	7	7	3	28	36	0.438	0	1	0	0	1	4	0.25	 
5	0	2	2	-1	4	5	12	0	0	0	0	0	0	0	0	2	0	 
5	2	0	2	2	2	1	1	1	1	0.5	0	0	0	0	1	5	0.4	 
3	0	2	2	1	0	8	1	0	1	0	0	0	0	0	0	7	0	 
4	2	0	2	2	0	9	3	0	0	0	0	0	0	0	2	12	0.167	 
3	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	7	0	 
4	1	1	2	-1	14	8	1	0	0	0	0	0	0	0	1	8	0.125	 
3	0	2	2	0	0	0	0	1	1	0.5	0	0	0	0	0	8	0	 
4	1	1	2	1	2	1	4	22	16	0.579	0	0	0	0	1	5	0.2	 
3	0	2	2	-1	0	3	0	0	0	0	0	1	0	0	0	5	0	 
4	1	1	2	4	2	4	4	0	0	0	1	0	0	0	0	6	0.167	 
5	2	0	2	-5	4	6	5	41	42	0.494	0	0	0	0	1	6	0.333	 
3	1	1	2	-6	2	3	1	0	1	0	1	0	0	0	0	6	0.167	 
5	1	1	2	-3	0	5	8	0	0	0	0	0	0	0	0	4	0.25	 
5	2	0	2	0	2	2	1	0	0	0	0	0	0	0	0	4	0.5	 
4	0	2	2	1	4	2	1	60	36	0.625	0	2	0	0	0	3	0	 
4	0	2	2	4	2	2	8	0	0	0	0	0	0	0	0	6	0	 
3	1	1	2	0	0	7	1	0	1	0	0	0	0	0	0	7	0.143	 
5	1	1	2	4	2	11	2	8	7	0.533	0	0	0	0	0	7	0.143	 
4	0	2	2	0	2	5	2	5	6	0.455	0	2	0	0	0	13	0	 
4	0	2	2	3	4	6	3	0	0	0	0	0	0	0	0	2	0	 
4	1	0	1	2	0	3	4	0	0	0	0	0	0	0	0	12	0.083	 
